Sample Number,Sampled Point Number,Latitude + Longitude,Heading,Date,Image Name,Road Types,Web Link
43,11,"13.8160124998,100.6504993",S,2012-01,0000000043_13.8160124998_100.6504993_S.jpg,"residential,residential",https://drive.google.com/uc?id=0B7dZI0Kce2cSeFNub243NFZUNWs
44,11,"13.8160124998,100.6504993",W,2012-01,0000000044_13.8160124998_100.6504993_W.jpg,"residential,residential",https://drive.google.com/uc?id=0B7dZI0Kce2cSa3RVQ2tnVHg1dTA
45,12,"13.7934222999,100.595041598",N,2011-12,0000000045_13.7934222999_100.595041598_N.jpg,"residential,residential",https://drive.google.com/uc?id=0B7dZI0Kce2cSSjNmU0dJdS1iNm8
46,12,"13.7934222999,100.595041598",E,2011-12,0000000046_13.7934222999_100.595041598_E.jpg,"residential,residential",https://drive.google.com/uc?id=0B7dZI0Kce2cSODJKNG11OEcwSjQ
47,12,"13.7934222999,100.595041598",S,2011-12,0000000047_13.7934222999_100.595041598_S.jpg,"residential,residential",https://drive.google.com/uc?id=0B7dZI0Kce2cSRzhvRHZ1UmFIQ2c
48,12,"13.7934222999,100.595041598",W,2011-12,0000000048_13.7934222999_100.595041598_W.jpg,"residential,residential",https://drive.google.com/uc?id=0B7dZI0Kce2cSbE81Y2kyenRGMms
49,13,"13.881543,100.5918717",N,2012-01,0000000049_13.881543_100.5918717_N.jpg,"residential,residential",https://drive.google.com/uc?id=0B7dZI0Kce2cSQzloU292YTh6VkE
50,13,"13.881543,100.5918717",E,2012-01,0000000050_13.881543_100.5918717_E.jpg,"residential,residential",https://drive.google.com/uc?id=0B7dZI0Kce2cSYVZPeU1ZTEpVTFk
51,13,"13.881543,100.5918717",S,2012-01,0000000051_13.881543_100.5918717_S.jpg,"residential,residential",https://drive.google.com/uc?id=0B7dZI0Kce2cSM1U1WktfU3c4cVU
52,13,"13.881543,100.5918717",W,2012-01,0000000052_13.881543_100.5918717_W.jpg,"residential,residential",https://drive.google.com/uc?id=0B7dZI0Kce2cSNVdTREZkbnNqZzQ
53,14,"13.8099664001,100.6445841",N,2012-01,0000000053_13.8099664001_100.6445841_N.jpg,"residential,residential",https://drive.google.com/uc?id=0B7dZI0Kce2cSWmVIMjN1MWVPOE0
54,14,"13.8099664001,100.6445841",E,2012-01,0000000054_13.8099664001_100.6445841_E.jpg,"residential,residential",https://drive.google.com/uc?id=0B7dZI0Kce2cSdDJVWGRLbWhiR2s
55,14,"13.8099664001,100.6445841",S,2012-01,0000000055_13.8099664001_100.6445841_S.jpg,"residential,residential",https://drive.google.com/uc?id=0B7dZI0Kce2cSM3RBQVRvZ01BNms
56,14,"13.8099664001,100.6445841",W,2012-01,0000000056_13.8099664001_100.6445841_W.jpg,"residential,residential",https://drive.google.com/uc?id=0B7dZI0Kce2cScURNZjFqZ1JNYjA
57,15,"13.8153761999,100.6601802",N,2012-01,0000000057_13.8153761999_100.6601802_N.jpg,"residential,residential",https://drive.google.com/uc?id=0B7dZI0Kce2cSeHV1b2tvQ3NRRFE
58,15,"13.8153761999,100.6601802",E,2012-01,0000000058_13.8153761999_100.6601802_E.jpg,"residential,residential",https://drive.google.com/uc?id=0B7dZI0Kce2cScDk5dER2Rm5ya0k
59,15,"13.8153761999,100.6601802",S,2012-01,0000000059_13.8153761999_100.6601802_S.jpg,"residential,residential",https://drive.google.com/uc?id=0B7dZI0Kce2cScTVWWnJuN2p6dVU
60,15,"13.8153761999,100.6601802",W,2012-01,0000000060_13.8153761999_100.6601802_W.jpg,"residential,residential",https://drive.google.com/uc?id=0B7dZI0Kce2cSWDFOSmtKRDJLdk0
61,16,"13.7649465998,100.6806969",N,2011-12,0000000061_13.7649465998_100.6806969_N.jpg,"residential,residential,residential,residential",https://drive.google.com/uc?id=0B7dZI0Kce2cSaFRpS3lQMGRTaXc
62,16,"13.7649465998,100.6806969",E,2011-12,0000000062_13.7649465998_100.6806969_E.jpg,"residential,residential,residential,residential",https://drive.google.com/uc?id=0B7dZI0Kce2cSbFpqam1palB2S0U
